UserEmail,MINA,POL,POL,AVX,USDT,ETH,PEPE
chris.jones9@outlook.com,22284.87,26329.37,27022.43,18840.43,17642.19,39880.62,22282.87
emily.davis12@outlook.com,6400.12,20099.45,679.52,11395.47,42804.77,13189.72,24598.21
alex.wilson85@protonmail.com,3733.71,17291.52,46577.84,41185.67,44206.93,49415.01,35862.73
chris.wilson99@outlook.com,40921.32,56.85,24624.62,30274.85,38623.16,38880.6,46730.91
lisa.garcia85@yahoo.com,21512.69,28119.52,6477.35,32210.87,7891.58,11397.72,27786.42
robert.davis83@protonmail.com,18141.03,26461.0,3709.67,4257.8,49558.7,21243.46,1933.37
jane.williams29@yahoo.com,32593.65,48168.64,7211.45,1370.17,2256.06,39371.07,1521.97
emily.smith69@yahoo.com,26029.01,31201.3,38194.33,48603.68,31264.97,41635.95,20866.9
david.garcia31@protonmail.com,45633.72,9019.89,2536.06,41633.3,11037.4,37517.42,40831.38
john.johnson53@protonmail.com,19953.51,17087.13,21313.54,44568.64,13676.8,30526.53,31893.67
lisa.brown70@protonmail.com,43379.0,34541.63,5356.78,40248.74,18946.96,47842.74,40774.06
lisa.williams96@yahoo.com,40346.48,49907.31,34467.71,43044.04,18809.41,24648.71,1168.01
michael.johnson89@outlook.com,47070.28,1404.16,32318.16,36954.89,16148.48,18763.12,47670.31
michael.johnson75@outlook.com,2291.37,29976.87,25765.37,18359.77,42172.97,43199.39,32919.87
chris.garcia24@outlook.com,29226.54,49434.38,16894.72,16331.07,40787.07,1668.12,36285.6
david.smith94@yahoo.com,26346.76,16037.26,47937.39,34446.61,19058.28,33525.89,37187.88
jane.johnson61@yahoo.com,39062.37,4203.53,8440.18,6825.49,45082.49,8510.9,20688.2
lisa.brown5@outlook.com,25504.37,49395.52,48229.12,37350.0,2521.88,5037.08,14162.03
david.jones61@yahoo.com,14958.61,6353.72,31209.17,29053.34,32454.49,28960.76,5758.9
lisa.johnson56@protonmail.com,41568.52,11998.25,48223.82,10427.28,4675.73,12888.71,9247.96
alex.williams47@outlook.com,45603.59,37944.17,3558.82,44672.89,30999.25,17962.79,16303.88
lisa.jones13@protonmail.com,22117.19,48546.94,37529.08,16117.62,45134.11,18519.24,43030.06
lisa.garcia16@gmail.com,10827.19,25458.77,28015.72,13769.21,3010.67,8855.13,25001.56
lisa.williams19@outlook.com,48137.31,22629.63,14934.53,49140.66,28916.49,20628.77,15218.42
jane.rodriguez46@yahoo.com,15888.26,36896.0,37270.24,48762.26,6096.49,42040.27,27037.28
robert.davis29@protonmail.com,36660.96,42299.5,23229.95,11145.69,15131.34,7246.31,5598.6
alex.wilson40@yahoo.com,18587.34,1003.0,48243.45,39074.2,32368.37,26633.85,32764.63
chris.johnson86@yahoo.com,17104.87,37737.32,38422.28,22106.58,33097.78,32112.84,432.84
lisa.garcia61@yahoo.com,2425.15,25681.99,35237.14,13510.39,21619.65,32480.39,3048.04
