UserEmail,POL,LINK,MINA,USDT,ETH,AVX,USDC
jane.rodriguez59@gmail.com,27022.74,4604.52,49831.66,47260.66,16914.45,20754.16,46423.75
chris.johnson64@outlook.com,47721.65,25977.47,42015.53,1434.08,9612.12,35415.28,45772.61
utkarsh382004@gmail.com,17336.43,42327.64,32771.52,16269.32,43486.11,10069.82,17560.17
chris.brown34@yahoo.com,11498.1,44995.25,44807.32,12597.79,46833.83,5513.12,28719.05
robert.williams84@gmail.com,27537.13,11452.42,38653.32,6404.04,19177.84,5115.71,26346.84
lisa.brown76@protonmail.com,8176.24,850.84,18924.79,49418.89,16007.56,6492.03,12461.39
michael.davis81@yahoo.com,6990.39,28080.77,25325.29,13198.09,11141.17,24960.33,1761.95
lisa.wilson71@yahoo.com,34745.72,30426.75,15611.09,32036.18,26647.46,11023.6,39374.8
david.smith48@yahoo.com,46047.11,2509.75,7224.56,13451.69,21359.85,31903.48,29531.06
robert.wilson5@yahoo.com,27538.9,17743.36,33464.15,49903.82,1382.11,3202.27,45520.54
alex.garcia1@protonmail.com,35935.44,31690.21,37378.75,19632.04,20273.79,28944.61,8245.9
jane.davis53@yahoo.com,35023.88,30696.73,38716.19,8212.61,34936.83,31603.28,23295.12
michael.williams61@gmail.com,38291.84,3806.25,35278.47,45864.61,7166.42,11216.02,9225.71
alex.jones97@yahoo.com,28072.48,22618.3,27971.43,47934.8,30359.03,18624.39,5850.86
michael.jones2@yahoo.com,35912.38,8210.34,33235.92,18894.25,49914.87,8205.81,49002.95
michael.garcia88@outlook.com,35916.52,30963.68,20093.15,33505.56,27679.85,17805.01,7216.38
emily.brown20@yahoo.com,6127.36,23871.46,34056.07,49669.71,8557.08,29211.97,2303.03
lisa.miller69@yahoo.com,47340.17,3757.48,23941.29,39288.42,15019.46,14964.56,49405.88
john.johnson24@outlook.com,13800.91,41847.17,17853.34,24457.76,12896.42,43755.49,7350.08
emily.johnson28@outlook.com,33362.78,17879.48,32052.45,8733.13,31216.35,18059.32,3543.44
chris.williams96@yahoo.com,35622.2,34349.56,26141.25,27769.13,39075.27,7603.18,33780.24
michael.brown27@gmail.com,1827.58,29156.29,49834.15,22578.83,8185.5,35247.11,29222.07
emily.smith44@yahoo.com,41571.98,12073.48,24179.06,42700.57,6602.18,37567.06,4169.28
robert.smith83@gmail.com,49343.17,23504.08,23413.92,17573.37,18014.81,16756.55,38223.57
lisa.johnson83@protonmail.com,3243.95,45263.91,40366.98,26984.26,49704.33,267.57,34453.9
david.brown70@gmail.com,6865.91,38049.06,40199.14,40231.73,44930.49,16269.65,18520.51
jane.davis73@yahoo.com,18496.98,36406.78,31909.74,42677.73,19522.89,24863.71,6928.54
michael.rodriguez54@outlook.com,9404.36,48890.13,5603.0,26557.78,29331.03,17178.89,3332.65
michael.brown32@gmail.com,37849.22,32472.47,3187.59,38877.98,7549.12,34847.88,7316.46
david.garcia72@yahoo.com,25626.51,25538.53,6653.87,46154.85,42716.09,40753.94,37654.7
